keys,en,fr,es
COMMON_BACK,Back,Retour,Volver
MENU_PLAY,Play,Jouer,Jugar
MENU_HUB,Hub,Hub,Hub
MENU_BESTIARY,Bestiary,Bestiaire,Bestiario
MENU_ARSENAL,Arsenal,Arsenal,Arsenal
MENU_CHIMERA,Chimera,Chimère,Quimera
MENU_OPTIONS,Options,Options,Opciones
MENU_QUIT,Quit,Quitter,Salir
MENU_LANGUAGE,Language,Langue,Idioma
HUB_TITLE,HUB — Permanent Upgrades,HUB — Améliorations Permanentes,HUB — Mejoras Permanentes
HUB_ECHOES,Echoes available: {0},Échos disponibles : {0},Ecos disponibles: {0}
HUB_BUY,Buy,Acheter,Comprar
HUB_MAX,MAX,MAX,MAX
HUB_COST,Cost: {0},Coût : {0},Coste: {0}
HUB_LEVEL,Lv {0}/{1},Niv {0}/{1},Niv {0}/{1}
HUB_RESET,Reset upgrades,Réinitialiser les améliorations,Reiniciar mejoras
HUB_RESET_CONFIRM,Confirm? (Echoes refunded),Confirmer ? (Échos remboursés),¿Confirmar? (Ecos reembolsados)
CHARSEL_TITLE,CHOOSE YOUR CHARACTER,CHOISIR LE PERSONNAGE,ELIGE TU PERSONAJE
CHARSEL_CHOOSE,Choose,Choisir,Elegir
CHARSEL_STATS,HP {0}  ·  Speed {1}  ·  Weapon: {2},PV {0}  ·  Vitesse {1}  ·  Arme : {2},PV {0}  ·  Velocidad {1}  ·  Arma: {2}
LEVELSEL_TITLE,CHOOSE THE LEVEL,CHOISIR LE NIVEAU,ELIGE EL NIVEL
LEVELSEL_PLAY_HERE,Play here,Jouer ici,Jugar aquí
LEVELSEL_RANDOM,Random,Aléatoire,Aleatorio
LEVELSEL_DEFEATED,DEFEATED,VAINCU,DERROTADO
LEVELUP_TITLE,Level {0}!,Niveau {0} !,¡Nivel {0}!
LEVELUP_MINIBOSS,Mini-boss loot!,Butin de mini-boss !,¡Botín de mini-jefe!
LEVELUP_HINT,Click to choose,Clic pour choisir,Clic para elegir
LEVELUP_REROLL,Reroll ({0}),Renouveler ({0}),Recargar ({0})
LEVELUP_SKIP,Skip ({0}),Passer ({0}),Saltar ({0})
RARITY_COMMON,Common,Commun,Común
RARITY_RARE,Rare,Rare,Raro
RARITY_EPIC,Epic,Épique,Épico
RUNEND_VICTORY,EXTRACTION SUCCESSFUL,EXTRACTION REUSSIE,EXTRACCIÓN EXITOSA
RUNEND_DEATH,KILLED IN ACTION,MORT EN SERVICE,CAÍDO EN COMBATE
RUNEND_TIME,Time survived,Temps survécu,Tiempo sobrevivido
RUNEND_KILLS,Enemies eliminated,Ennemis éliminés,Enemigos eliminados
RUNEND_CORES,Cores collected,Noyaux récupérés,Núcleos recogidos
RUNEND_OVERTIME_BONUS,Overload bonus,Bonus de Surcharge,Bonus de sobrecarga
RUNEND_BONUS,Run bonus,Bonus de run,Bonus de partida
RUNEND_TOTAL,TOTAL: {0} Echoes,TOTAL : {0} Échos,TOTAL: {0} Ecos
RUNEND_HUB,Back to Hub,Retour au Hub,Volver al Hub
RUNEND_REPLAY,Replay,Rejouer,Reintentar
PAUSE_TITLE,PAUSE,PAUSE,PAUSA
PAUSE_MISSION,MISSION,MISSION,MISIÓN
PAUSE_PLAYER,PLAYER,JOUEUR,JUGADOR
PAUSE_WEAPONS,WEAPONS,ARMES,ARMAS
PAUSE_PASSIVES,PASSIVES,PASSIFS,PASIVOS
PAUSE_GRAFTS,GRAFTS,GREFFES,INJERTOS
PAUSE_RESUME,RESUME  [Esc],REPRENDRE  [Échap],REANUDAR  [Esc]
PAUSE_QUIT,QUIT GAME,QUITTER LA PARTIE,SALIR DE LA PARTIDA
PAUSE_TIME_SURVIVED,Time survived,Temps survécu,Tiempo sobrevivido
PAUSE_TIME_LEFT,Time left,Temps restant,Tiempo restante
PAUSE_LEVEL,Level,Niveau,Nivel
PAUSE_XP,XP,XP,XP
PAUSE_KILLS,Enemies killed,Ennemis tués,Enemigos abatidos
PAUSE_CORES,Aether Cores,Noyaux Aether,Núcleos de Aether
PAUSE_HP,Health,Points de vie,Salud
PAUSE_SPEED,Speed,Vitesse,Velocidad
PAUSE_DMG_MULT,Damage mult.,Mult. dégâts,Mult. daño
PAUSE_DMG_REDUC,Damage taken reduc.,Réduc. dégâts reçus,Reduc. daño recibido
PAUSE_CD_REDUC,Cooldown reduc.,Réduc. cooldown,Reduc. enfriamiento
PAUSE_NONE,— none —,— aucune —,— ninguna —
PAUSE_UNAVAILABLE,unavailable,indisponible,no disponible
